job_id,rubric,project,cohort,generation_rep,rating,purpose,type,severity,code,description
CHORUS_v7_rep1_r10_rating1,rubric10-semantic,CHORUS,v7,1,1,primary,consistency,high,consent_ethics,"human_subject_research.involves_human_subjects is true for a 50,000-admission multicenter retrospective clinical dataset, but no IRB, ethics committee, approval"
CHORUS_v7_rep1_r10_rating1,rubric10-semantic,CHORUS,v7,1,1,primary,consistency,high,consent_ethics,human_subject_research.involves_human_subjects is true but the informed_consent field is entirely absent. For retrospective EHR extraction a waiver of consent i
CHORUS_v7_rep1_r10_rating1,rubric10-semantic,CHORUS,v7,1,1,primary,consistency,high,consent_ethics,human_subject_research.special_populations identifies pediatric (PICU) and neonatal (NICU) intensive care patients — classic vulnerable populations — yet at_ris
CHORUS_v7_rep1_r10_rating1,rubric10-semantic,CHORUS,v7,1,1,primary,consistency,medium,scope_drift,"status is 'partially released' and updates.update_details describes an actively expanding release (50,000 of an anticipated 100,000 admissions, imaging de-ident"
CHORUS_v7_rep1_r10_rating1,rubric10-semantic,CHORUS,v7,1,1,primary,consistency,medium,scope_drift,"known_limitations documents pronounced and uneven modality availability (1000 images with de-identification in process, EEG extraction in process, note tokens o"
CHORUS_v7_rep1_r10_rating1,rubric10-semantic,CHORUS,v7,1,1,primary,content_accuracy,medium,license_use_terms,"purposes state the goal of developing 'a publicly available, AI-ready critical care dataset', while description, license_and_use_terms and confidential_elements"
CHORUS_v7_rep1_r10_rating1,rubric10-semantic,CHORUS,v7,1,1,primary,completeness,medium,privacy_regulatory,"regulatory_restrictions.hipaa_compliant is absent although the dataset is derived from US hospital protected health information, and is_deidentified carries no "
CHORUS_v7_rep1_r10_rating1,rubric10-semantic,CHORUS,v7,1,1,primary,correctness,medium,persistent_identifier,"No persistent identifier is present. id is 'https://chorus4ai.org/#dataset', a project-website URL with a fragment rather than a DOI, ARK or Handle; doi, citati"
CHORUS_v7_rep1_r10_rating1,rubric10-semantic,CHORUS,v7,1,1,primary,correctness,low,attribution,"Two contact strings are malformed as published and reproduced verbatim: the maintainer email 'cmccrary@mgh.havard.edu' (domain misspelled, flagged in the record"
CHORUS_v7_rep1_r10_rating1,rubric10-semantic,CHORUS,v7,1,1,primary,semantic_understanding,low,variables_metadata,"conforms_to_standard collapses three distinct standards (EDF+, Persyst, the OHNLP open source schema) into a single OTHER enum term, and the WFDB term stands fo"
